Pred_0,Pred_1,Pred_2,Pred_3,True_0,True_1,True_2,True_3
17.088266,795.45905,497.51312,252.2095,17.0,796.0,542.0,326.0
16.601301,795.295,508.25977,245.80292,16.0,795.0,543.0,325.0
17.08458,794.16327,505.7743,249.97597,17.0,792.0,543.0,326.0
16.686214,794.54364,491.92468,248.11417,16.0,795.0,543.0,325.0
16.918262,795.3403,505.3429,250.27693,16.0,795.0,542.0,326.0
16.508377,795.42957,503.69626,247.58588,16.0,795.0,543.0,323.0
16.419117,793.1241,490.78506,251.0933,17.0,796.0,543.0,328.0
16.70387,794.8645,501.4997,249.97934,16.0,796.0,542.0,322.0
16.702684,793.81226,506.1671,248.99615,17.0,789.0,542.0,326.0
16.9111,796.92804,522.1926,254.97046,16.0,795.0,542.0,321.0
16.626202,793.78864,483.3094,250.60005,17.0,794.0,542.0,329.0
16.809874,796.61115,517.1784,251.2135,16.0,795.0,542.0,322.0
16.369644,794.0655,499.35654,246.39478,16.0,795.0,542.0,325.0
17.149601,795.8733,499.67886,251.69728,16.0,796.0,542.0,321.0
16.519804,794.69617,501.31058,251.18109,17.0,796.0,542.0,326.0
16.941696,796.4752,502.8664,252.12125,16.0,796.0,542.0,323.0
16.823692,793.2239,493.79095,249.47346,17.0,796.0,542.0,325.0
16.627428,796.9343,495.1106,254.80064,16.0,796.0,542.0,323.0
16.653494,793.82404,504.53305,249.19922,17.0,796.0,542.0,325.0
16.449797,795.8057,490.78818,253.49306,16.0,796.0,542.0,321.0
16.411646,793.23004,487.62186,248.7375,17.0,796.0,542.0,325.0
16.758455,794.96454,497.3098,249.45255,16.0,796.0,542.0,323.0
16.369524,794.6821,513.5216,255.93835,16.0,795.0,542.0,325.0
16.689304,795.504,504.91278,253.88304,16.0,795.0,542.0,322.0
16.998718,793.9626,509.28326,249.03093,16.0,796.0,542.0,325.0
16.830807,795.82007,509.09372,248.25067,16.0,795.0,542.0,323.0
16.704433,794.39844,504.78806,248.6042,17.0,796.0,542.0,327.0
16.465511,796.32434,512.622,254.54321,16.0,795.0,542.0,323.0
16.725891,794.4712,492.53546,248.52144,17.0,796.0,542.0,326.0
16.141752,796.14264,482.2851,253.308,16.0,795.0,541.0,324.0
16.874702,794.8189,506.98544,244.62653,17.0,795.0,542.0,327.0
16.240221,796.0105,491.64017,252.22911,16.0,795.0,541.0,324.0
16.818659,793.1896,495.06143,251.8976,17.0,796.0,542.0,326.0
16.907309,795.9973,498.50848,250.70648,16.0,796.0,541.0,327.0
17.1885,794.7061,525.70874,251.97162,16.0,795.0,541.0,326.0
16.926245,797.6127,523.37006,251.09055,16.0,795.0,541.0,324.0
16.539364,794.2846,488.40875,248.04611,16.0,794.0,548.0,325.0
16.356428,795.7528,517.9197,249.38713,16.0,795.0,541.0,324.0
16.811203,793.6401,500.05573,250.74815,16.0,796.0,541.0,326.0
16.571661,796.8962,486.7529,246.99182,16.0,795.0,541.0,323.0
16.69152,793.9711,509.69977,249.27808,16.0,796.0,549.0,326.0
16.892303,797.23004,525.72504,246.2023,16.0,795.0,540.0,323.0
16.600939,795.04865,495.13065,248.89076,17.0,796.0,540.0,327.0
16.823328,794.8596,492.98358,251.58415,16.0,795.0,540.0,323.0
